manufacture_year,mileage_km,engine_cc,fuel_type_enc,transmission_enc,usd_pkr,make_enc,model_enc
2021,10000,660.0,1,1,162.29,15.013352124324825,15.109392850014181
2022,104000,1000.0,0,0,203.74,14.689538551572547,14.788997292072693
2015,80000,1500.0,1,1,104.24,15.361645422648705,15.581728474180032
2017,67000,4000.0,0,1,105.49,15.582216036861638,17.034541540555878
2022,33000,2800.0,2,1,203.74,15.582216036861638,16.213552174451078
2015,159000,1300.0,0,1,104.24,15.582216036861638,15.358359962182487
2020,64000,1000.0,0,1,161.28,15.582216036861638,15.59824380356483
2019,111000,1500.0,1,1,149.69,15.361645422648705,15.581728474180032
2022,67000,1500.0,0,1,203.74,15.266753794356122,15.55307626490417
2022,72000,1800.0,0,1,203.74,15.582216036861638,15.358359962182487
2019,99000,1500.0,1,1,149.69,15.361645422648705,15.581728474180032
2017,148000,1500.0,0,1,105.49,15.361645422648705,15.354131830284432
2021,60000,1490.0,0,1,162.29,15.618423127273212,15.628031248395956
2016,67000,4000.0,0,1,104.65,15.582216036861638,17.034541540555878
2021,77000,1300.0,0,1,162.29,15.582216036861638,15.30362924123614
2020,70000,2000.0,0,1,161.28,15.53212936554385,15.705720405742982
2018,64500,996.0,0,1,121.03,15.582216036861638,15.105351411289421
2021,9000,2500.0,0,1,162.29,15.759401624594304,15.956837619893214
2015,92000,1000.0,0,1,104.24,15.582216036861638,15.105351411289421
2022,59000,1500.0,0,1,203.74,15.582216036861638,15.30362924123614
2021,39000,1500.0,0,1,162.29,15.618423127273212,15.628031248395956
2021,42000,1500.0,0,1,162.29,15.890829114373654,15.777220245860462
2018,48000,1300.0,0,0,121.03,15.582216036861638,15.358359962182487
2021,35000,1000.0,0,1,162.29,15.53212936554385,14.853586854373507
2022,51000,1000.0,0,0,203.74,15.53212936554385,14.853586854373507
2017,98000,1500.0,0,0,105.49,14.689538551572547,15.35237799261728
2018,95000,796.0,0,0,121.03,14.689538551572547,14.157175401535097
2015,147000,1300.0,0,0,104.24,14.689538551572547,14.89805942031078
2022,55300,1000.0,0,0,203.74,14.689538551572547,14.733813331245617
2021,77000,2700.0,0,1,162.29,15.582216036861638,16.39745756354409
2022,38000,1500.0,0,1,203.74,15.361645422648705,15.14411735858117
2021,72000,660.0,0,0,162.29,14.689538551572547,14.78798076906705
2017,85000,660.0,0,1,105.49,14.938427526914584,14.911737922736961
2022,51500,1500.0,0,1,203.74,15.361645422648705,15.14411735858117
2018,70736,660.0,0,1,121.03,14.938427526914584,14.911737922736961
2018,67559,1500.0,1,1,121.03,15.361645422648705,15.581728474180032
2017,112,1800.0,0,1,105.49,15.361645422648705,15.516425399356564
2018,95000,1200.0,1,1,121.03,15.249459269354036,15.488038403914677
2015,83000,796.0,0,0,104.24,14.689538551572547,14.157175401535097
2022,54000,2000.0,0,1,203.74,15.759401624594304,15.778089894916285
2015,140000,1300.0,0,0,104.24,15.582216036861638,15.358359962182487
2022,38000,1600.0,0,1,203.74,15.582216036861638,15.358359962182487
2022,28000,1000.0,0,1,203.74,15.582216036861638,15.33093305799946
2020,107000,1500.0,0,0,161.28,15.361645422648705,15.14411735858117
2018,127837,660.0,0,1,121.03,15.147879956442214,15.027736458277907
2022,54500,2000.0,0,1,203.74,15.759401624594304,15.778089894916285
2019,22500,1000.0,0,1,149.69,15.582216036861638,15.59824380356483
2016,110000,1300.0,0,1,104.65,15.582216036861638,15.358359962182487
2021,90000,1500.0,0,1,162.29,15.361645422648705,15.516425399356564
2016,145000,2700.0,0,1,104.65,15.582216036861638,17.034541540555878
2020,37000,1000.0,0,1,161.28,15.53212936554385,14.853586854373507
2021,103000,1500.0,0,1,162.29,15.134372535179956,15.059329700681124
2017,87000,1800.0,0,1,105.49,15.361645422648705,15.516425399356564
2015,135937,660.0,0,1,104.24,14.689538551572547,14.78798076906705
2020,38500,1600.0,0,1,161.28,15.582216036861638,15.358359962182487
2017,63000,1000.0,0,0,105.49,14.689538551572547,14.788997292072693
2021,68000,660.0,0,0,162.29,14.689538551572547,14.78798076906705
2022,60100,2800.0,2,1,203.74,15.582216036861638,16.213552174451078
2021,110000,1800.0,0,1,162.29,15.361645422648705,15.516425399356564
2022,165000,1000.0,0,0,203.74,14.689538551572547,14.788997292072693
