listing_id,make,model,manufacture_year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,usd_pkr,price_per_cc,fuel_type_enc,transmission_enc,car_age,log_price
11375339,Honda,Vezel,2018,6850000.0,67559,Hybrid,Automatic,1500.0,121.03,4566.666666666667,1,1,7,15.739759356223798
11449970,Honda,Civic,2017,5000000.0,112,Petrol,Automatic,1800.0,105.49,2777.777777777778,0,1,8,15.424948670398354
11420861,Nissan,Note,2018,4200000.0,95000,Hybrid,Automatic,1200.0,121.03,3500.0,1,1,7,15.250595321348806
11314957,Suzuki,Mehran,2015,1460000.0,83000,Petrol,Manual,796.0,104.24,1834.1708542713568,0,0,10,14.19394767861579
11449965,Hyundai,Tucson,2022,7000000.0,54000,Petrol,Automatic,2000.0,203.74,3500.0,0,1,3,15.76142084987672
11449942,Toyota,Corolla,2015,3150000.0,140000,Petrol,Manual,1300.0,104.24,2423.076923076923,0,0,10,14.962913328262083
11449953,Toyota,Corolla,2022,6050000.0,38000,Petrol,Automatic,1600.0,203.74,3781.25,0,1,3,15.615568995296266
11449951,Toyota,Yaris Hatchback,2022,4600000.0,28000,Petrol,Automatic,1000.0,203.74,4600.0,0,1,3,15.341567078850604
11449950,Honda,City,2020,3875000.0,107000,Petrol,Manual,1500.0,161.28,2583.333333333333,0,0,5,15.170056478834066
11449940,Daihatsu,Mira,2018,3290000.0,127837,Petrol,Automatic,660.0,121.03,4984.848484848485,0,1,7,15.006398426692876
11449939,Hyundai,Tucson,2022,7600000.0,54500,Petrol,Automatic,2000.0,203.74,3800.0,0,1,3,15.843658936835498
11449936,Toyota,Raize,2019,4990000.0,22500,Petrol,Automatic,1000.0,149.69,4990.0,0,1,6,15.422946668128484
11418122,Toyota,Corolla,2016,4100000.0,110000,Petrol,Automatic,1300.0,104.65,3153.846153846154,0,1,9,15.226497775576945
11449870,Honda,Civic,2021,6690000.0,90000,Petrol,Automatic,1500.0,162.29,4460.0,0,1,4,15.716124581581232
